epoch,loss,accuracy,recall,precision,miou,f1_score,val_loss,val_accuracy,val_recall,val_precision,val_miou,val_f1_score,lr
1,0.8646483421325684,0.868024468421936,0.22691325843334198,0.9263612031936646,0.3749675750732422,0.35332563519477844,0.9795898199081421,0.8129964470863342,0.16871146857738495,0.5840407609939575,0.3749080300331116,0.26138991117477417,9.999999747378752e-05
2,0.7870347499847412,0.8995308876037598,0.351287841796875,0.9434930682182312,0.3749757707118988,0.474134236574173,0.9048112630844116,0.8202841877937317,0.3812203109264374,0.7454411387443542,0.3749999403953552,0.5036249160766602,9.999999747378752e-05
3,0.7489555478096008,0.894601583480835,0.674778163433075,0.972375750541687,0.374972403049469,0.7737186551094055,0.8604752421379089,0.8273935914039612,0.7751160264015198,0.8508692383766174,0.3749992847442627,0.8104047775268555,9.999999747378752e-05
4,0.7000358700752258,0.8985678553581238,0.7902650833129883,0.9716177582740784,0.3750004768371582,0.8638972043991089,0.8380370140075684,0.8185949921607971,0.7791360020637512,0.8483995795249939,0.375,0.8114034533500671,9.999999747378752e-05
5,0.6500730514526367,0.922313392162323,0.8358343243598938,0.9736121296882629,0.3749980926513672,0.8946797251701355,0.7907577157020569,0.8226379752159119,0.7956600189208984,0.8498839735984802,0.375,0.8211307525634766,9.999999747378752e-05
6,0.6105672717094421,0.9280524849891663,0.847175121307373,0.9690845012664795,0.37499386072158813,0.8996279835700989,0.7662888169288635,0.829349935054779,0.8027198910713196,0.84958815574646,0.375,0.8247092366218567,9.999999747378752e-05
7,0.5675723552703857,0.9278070330619812,0.8693246841430664,0.967240571975708,0.3749895691871643,0.912436306476593,0.7356340289115906,0.8285618424415588,0.8070019483566284,0.8477882742881775,0.375,0.8261217474937439,9.999999747378752e-05
8,0.5361135005950928,0.9330869913101196,0.8785150051116943,0.9710137844085693,0.37498152256011963,0.919421911239624,0.7138304710388184,0.8292345404624939,0.8088575005531311,0.8466750383377075,0.375,0.8266842365264893,9.999999747378752e-05
9,0.5138962268829346,0.9264731407165527,0.8624783754348755,0.9654728174209595,0.375,0.9068860411643982,0.6908414363861084,0.8294804692268372,0.815353274345398,0.8448910713195801,0.375,0.8292626142501831,9.999999747378752e-05
10,0.47974634170532227,0.9369245767593384,0.8798876404762268,0.9674872159957886,0.375,0.9181925058364868,0.675975501537323,0.8299255967140198,0.8173431754112244,0.8431041240692139,0.375,0.8293930888175964,9.999999747378752e-05
11,0.4578973650932312,0.9339050054550171,0.8833920359611511,0.9655745029449463,0.375,0.9193088412284851,0.6509923338890076,0.8314111232757568,0.8200987577438354,0.8441621661186218,0.375,0.8313146829605103,9.999999747378752e-05
12,0.4328271448612213,0.9304285645484924,0.8905028104782104,0.9601042866706848,0.375,0.9210389852523804,0.6369954347610474,0.8317879438400269,0.8220564723014832,0.8429713249206543,0.375,0.8317708373069763,9.999999747378752e-05
13,0.4202815294265747,0.927072286605835,0.8930805325508118,0.9581944346427917,0.375,0.9213957190513611,0.6238261461257935,0.8320481181144714,0.8238173127174377,0.8419288992881775,0.375,0.8321532011032104,9.999999747378752e-05
14,0.3900500237941742,0.9355564713478088,0.9039760231971741,0.9619289040565491,0.375,0.9298083782196045,0.613149881362915,0.831298291683197,0.8234150409698486,0.8406736850738525,0.375,0.8313370943069458,9.999999747378752e-05
15,0.374055951833725,0.9403178095817566,0.9066862463951111,0.9625653624534607,0.375,0.9316107630729675,0.6044959425926208,0.8318829536437988,0.8245305418968201,0.8405923247337341,0.375,0.8318812847137451,9.999999747378752e-05
16,0.35117048025131226,0.9361016750335693,0.904515266418457,0.9584540128707886,0.375,0.9278698563575745,0.6000264883041382,0.8314453363418579,0.8256347179412842,0.8383622765541077,0.375,0.8313409090042114,9.999999747378752e-05
17,0.3393765985965729,0.9287866950035095,0.9049906730651855,0.958820104598999,0.375,0.9281256198883057,0.5904092788696289,0.8316308259963989,0.825760543346405,0.8388785719871521,0.37503960728645325,0.8316142559051514,9.999999747378752e-05
18,0.33064424991607666,0.9363976716995239,0.9044213891029358,0.9601074457168579,0.375,0.9284855723381042,0.582275390625,0.8318468332290649,0.826813817024231,0.8379991054534912,0.375,0.8317638039588928,9.999999747378752e-05
19,0.30121397972106934,0.9419534802436829,0.9125006794929504,0.9624626040458679,0.375,0.9338952302932739,0.5817384719848633,0.8319472670555115,0.8274952173233032,0.8372629284858704,0.375,0.831754744052887,9.999999747378752e-05
20,0.301330029964447,0.9341313242912292,0.9089252352714539,0.9565263986587524,0.375,0.9293416142463684,0.5759342908859253,0.8315646648406982,0.8270886540412903,0.8369566798210144,0.375,0.8314003348350525,9.999999747378752e-05
21,0.2892424166202545,0.9326366186141968,0.9138259291648865,0.9506368041038513,0.375,0.9299728274345398,0.5771587491035461,0.8318734169006348,0.8277742266654968,0.8368207812309265,0.375,0.8316888809204102,9.999999747378752e-05
22,0.27838221192359924,0.9410398006439209,0.9188483357429504,0.9635839462280273,0.375,0.9381296038627625,0.5693076848983765,0.8321250081062317,0.8279853463172913,0.837246298789978,0.375,0.8320171236991882,9.999999747378752e-05
23,0.26450425386428833,0.9398070573806763,0.9196443557739258,0.9603879451751709,0.375,0.9371866583824158,0.5676109790802002,0.8321505188941956,0.8282199501991272,0.8369889855384827,0.375,0.8320066332817078,9.999999747378752e-05
24,0.25375980138778687,0.9450533390045166,0.9249112010002136,0.9642335176467896,0.375,0.9416369795799255,0.5704402923583984,0.8320578336715698,0.8283134698867798,0.8366624116897583,0.375,0.8318865299224854,9.999999747378752e-05
25,0.25519734621047974,0.9374158978462219,0.9191458821296692,0.9551612138748169,0.37500452995300293,0.934704601764679,0.5695049166679382,0.8318071365356445,0.8277683258056641,0.8366892337799072,0.375,0.8316166400909424,9.999999747378752e-05
26,0.23994506895542145,0.9453021287918091,0.9273945093154907,0.9611878991127014,0.375,0.941993772983551,0.5756639838218689,0.8311129808425903,0.8275704383850098,0.8355849385261536,0.375,0.8309723138809204,9.999999747378752e-05
27,0.24541249871253967,0.9432242512702942,0.9244994521141052,0.9606420397758484,0.375,0.9399551749229431,0.5657152533531189,0.8320631384849548,0.8281835913658142,0.836837112903595,0.375,0.8318894505500793,9.999999747378752e-05
28,0.22811035811901093,0.9475744962692261,0.9300330281257629,0.9613876342773438,0.375,0.9437088966369629,0.5753929018974304,0.8312669992446899,0.8276827335357666,0.8356055021286011,0.375,0.8310429453849792,9.999999747378752e-05
29,0.2310505360364914,0.937562882900238,0.920716404914856,0.9576233625411987,0.375,0.9363471269607544,0.5844539999961853,0.8311095237731934,0.8274826407432556,0.8354893326759338,0.375,0.8308749198913574,9.999999747378752e-05
