epoch,loss,accuracy,recall,precision,miou,f1_score,val_loss,val_accuracy,val_recall,val_precision,val_miou,val_f1_score,lr
1,0.8598567843437195,0.8761051297187805,0.25043734908103943,0.9294648766517639,0.37496671080589294,0.38706645369529724,0.971108615398407,0.8148240447044373,0.16691292822360992,0.5830801725387573,0.37491387128829956,0.2590844929218292,9.999999747378752e-05
2,0.7919137477874756,0.885301947593689,0.35675498843193054,0.9534581303596497,0.3749909996986389,0.4726101756095886,0.913284957408905,0.826749861240387,0.27610233426094055,0.6833421587944031,0.37497392296791077,0.39248186349868774,9.999999747378752e-05
3,0.7535712718963623,0.8894248008728027,0.645875871181488,0.9728744626045227,0.37498629093170166,0.7497020959854126,0.8775926828384399,0.8264753818511963,0.769920825958252,0.850512683391571,0.37494203448295593,0.8072715997695923,9.999999747378752e-05
4,0.6846626996994019,0.914055347442627,0.802808940410614,0.9672078490257263,0.3749886155128479,0.871086061000824,0.8217431902885437,0.8280496597290039,0.7942256927490234,0.8499707579612732,0.37500008940696716,0.8203349709510803,9.999999747378752e-05
5,0.644029438495636,0.9074146151542664,0.8386164307594299,0.9653418064117432,0.3749805688858032,0.8927684426307678,0.7883191704750061,0.8288025856018066,0.8006882071495056,0.8505944013595581,0.37499484419822693,0.823967456817627,9.999999747378752e-05
6,0.6076346039772034,0.9094441533088684,0.8459503054618835,0.9630224704742432,0.3749880790710449,0.8958269953727722,0.7677905559539795,0.828829824924469,0.8042426109313965,0.8497629761695862,0.37498199939727783,0.8255497217178345,9.999999747378752e-05
7,0.5768544673919678,0.9180414080619812,0.8398022651672363,0.9634782075881958,0.3749977648258209,0.8922785520553589,0.7315115332603455,0.8290890455245972,0.8121592402458191,0.8481080532073975,0.375,0.8289349675178528,9.999999747378752e-05
8,0.5316612720489502,0.9259532690048218,0.8737245798110962,0.9642059803009033,0.3749871253967285,0.913097620010376,0.7117645144462585,0.8294311761856079,0.8134039640426636,0.8456835150718689,0.37499362230300903,0.8284792900085449,9.999999747378752e-05
9,0.5051323175430298,0.9221686124801636,0.8544977307319641,0.9624422788619995,0.37498563528060913,0.9000338912010193,0.6950825452804565,0.8302754163742065,0.8178368210792542,0.8436620831489563,0.3749621510505676,0.8298760652542114,9.999999747378752e-05
10,0.47098514437675476,0.9341920018196106,0.8867730498313904,0.9639866352081299,0.3749888837337494,0.9210118055343628,0.6702357530593872,0.8301806449890137,0.81767737865448,0.8442760109901428,0.37500008940696716,0.8300634026527405,9.999999747378752e-05
11,0.4631027579307556,0.9162203073501587,0.8823295831680298,0.9482882022857666,0.3749871253967285,0.9113485217094421,0.6460573077201843,0.8309678435325623,0.8200715780258179,0.8436306715011597,0.3749937117099762,0.8310326933860779,9.999999747378752e-05
12,0.44178861379623413,0.9098385572433472,0.8770873546600342,0.9449493885040283,0.37498652935028076,0.9065012335777283,0.6418761014938354,0.8298446536064148,0.8209829926490784,0.8404448628425598,0.3749951720237732,0.8299338221549988,9.999999747378752e-05
13,0.42139020562171936,0.9341070652008057,0.8872631192207336,0.9619373083114624,0.37499815225601196,0.9201405644416809,0.6312678456306458,0.8307874798774719,0.8218865394592285,0.8410061597824097,0.3750015199184418,0.8307062387466431,9.999999747378752e-05
14,0.38684436678886414,0.9256900548934937,0.899368941783905,0.9533212780952454,0.37498509883880615,0.922917366027832,0.613585889339447,0.8309164643287659,0.8229988217353821,0.8401898741722107,0.37499645352363586,0.8308730721473694,9.999999747378752e-05
15,0.39113545417785645,0.9232911467552185,0.8778745532035828,0.9509935975074768,0.3749876022338867,0.9097653031349182,0.6104110479354858,0.8315466642379761,0.824756920337677,0.8394979238510132,0.3749879002571106,0.8314451575279236,9.999999747378752e-05
16,0.34440019726753235,0.9416033625602722,0.912800133228302,0.9610074162483215,0.3749871253967285,0.9342826008796692,0.6069519519805908,0.830264151096344,0.8242577314376831,0.8370078802108765,0.37499991059303284,0.8299713730812073,9.999999747378752e-05
17,0.3472142219543457,0.9256358742713928,0.903043806552887,0.9458817839622498,0.37498414516448975,0.9219188690185547,0.5962432026863098,0.8305639028549194,0.8249595761299133,0.8368253111839294,0.37500086426734924,0.8302490711212158,9.999999747378752e-05
18,0.3423343598842621,0.9250010848045349,0.9031621217727661,0.9443247318267822,0.3749837577342987,0.9214239120483398,0.5884737372398376,0.8296688199043274,0.8238361477851868,0.8361861705780029,0.3749949038028717,0.8293327689170837,9.999999747378752e-05
19,0.3450767993927002,0.9211851954460144,0.8931049108505249,0.945514976978302,0.37499964237213135,0.9160093069076538,0.5919102430343628,0.8308279514312744,0.8261911273002625,0.8360949158668518,0.375,0.8305095434188843,9.999999747378752e-05
20,0.3064790964126587,0.9432331919670105,0.9195982217788696,0.9606471061706543,0.375,0.9377440810203552,0.5849188566207886,0.8310508728027344,0.8264559507369995,0.8366213440895081,0.3750007152557373,0.8308871388435364,9.999999747378752e-05
21,0.29841339588165283,0.9411537647247314,0.9233236908912659,0.9562546610832214,0.375,0.9379715919494629,0.5811474919319153,0.8313015103340149,0.8270149827003479,0.8363451361656189,0.37504473328590393,0.8310708403587341,9.999999747378752e-05
22,0.2633109986782074,0.9500834345817566,0.932602047920227,0.964817464351654,0.37497276067733765,0.9470535516738892,0.5775761604309082,0.8308423757553101,0.8268187642097473,0.8356216549873352,0.3750171959400177,0.8305932879447937,9.999999747378752e-05
23,0.2711412012577057,0.9394763112068176,0.9233407974243164,0.956147313117981,0.3750002384185791,0.9380370378494263,0.5725243091583252,0.8305643200874329,0.8262559175491333,0.8355069160461426,0.3750287592411041,0.8302633762359619,9.999999747378752e-05
24,0.2584119439125061,0.9494655728340149,0.9330762624740601,0.9627336263656616,0.375,0.9462599754333496,0.5804367065429688,0.8307082653045654,0.8266604542732239,0.8353816866874695,0.375,0.8303886651992798,9.999999747378752e-05
25,0.25502273440361023,0.9533408880233765,0.9372334480285645,0.9663248658180237,0.375,0.9503108859062195,0.5974118113517761,0.8309215903282166,0.8267261385917664,0.8356370329856873,0.375,0.8305644392967224,9.999999747378752e-05
26,0.2409203052520752,0.9562061429023743,0.9396475553512573,0.9693251848220825,0.37499773502349854,0.9528405666351318,0.5797975659370422,0.8310454487800598,0.8272514939308167,0.8355484008789062,0.375,0.8307901620864868,9.999999747378752e-05
27,0.24107728898525238,0.9468364119529724,0.9303075671195984,0.9608438014984131,0.3749997913837433,0.9435787200927734,0.5723890066146851,0.8314895629882812,0.8272765278816223,0.8363449573516846,0.375,0.8311842083930969,9.999999747378752e-05
28,0.22707323729991913,0.9557464122772217,0.9400727152824402,0.9668874740600586,0.375,0.9520719051361084,0.5840875506401062,0.8314254283905029,0.8277794718742371,0.8357571959495544,0.375,0.8311610817909241,9.999999747378752e-05
29,0.2218267172574997,0.9569095373153687,0.9409091472625732,0.968515932559967,0.375,0.9532940983772278,0.5837607383728027,0.831359326839447,0.8281896114349365,0.8352130055427551,0.375,0.8311127424240112,9.999999747378752e-05
30,0.21674111485481262,0.9568750262260437,0.941498339176178,0.9692870378494263,0.375,0.9537228941917419,0.5891669392585754,0.8313372135162354,0.827989935874939,0.8352317810058594,0.375,0.8310146927833557,9.999999747378752e-05
