epoch,loss,accuracy,recall,precision,miou,f1_score,val_loss,val_accuracy,val_recall,val_precision,val_miou,val_f1_score,lr
1,0.8930873870849609,0.8231786489486694,0.24387256801128387,0.824919581413269,0.375,0.37134048342704773,0.878065824508667,0.849751353263855,0.1062990352511406,0.7951771020889282,0.3749949336051941,0.18322710692882538,9.999999747378752e-05
2,0.777827262878418,0.8803145289421082,0.40395641326904297,0.8821247816085815,0.375,0.532135009765625,0.8202801942825317,0.8362882137298584,0.5611991882324219,0.9209649562835693,0.375,0.6952455639839172,9.999999747378752e-05
3,0.693578839302063,0.9059382081031799,0.7620080709457397,0.944599449634552,0.375,0.8380692005157471,0.7851228713989258,0.8398663401603699,0.7162163257598877,0.9100441336631775,0.375,0.7994850873947144,9.999999747378752e-05
4,0.6136102080345154,0.927355170249939,0.8690802454948425,0.9609364867210388,0.375,0.9122957587242126,0.7207508683204651,0.854621946811676,0.768104076385498,0.9174643754959106,0.375,0.8332061767578125,9.999999747378752e-05
5,0.5489746332168579,0.9394879937171936,0.898910403251648,0.9672550559043884,0.375,0.9315666556358337,0.7045983672142029,0.8431410789489746,0.7712420225143433,0.8940989375114441,0.375,0.8270284533500671,9.999999747378752e-05
6,0.48865047097206116,0.9506710171699524,0.9214949011802673,0.9727513194084167,0.375,0.946261465549469,0.6830383539199829,0.8378398418426514,0.779573917388916,0.888476550579071,0.375,0.828961193561554,9.999999747378752e-05
7,0.43949058651924133,0.9573219418525696,0.9346646070480347,0.9757826328277588,0.375,0.9546957612037659,0.6257349252700806,0.8464701175689697,0.7821409106254578,0.9102006554603577,0.375,0.8383292555809021,9.999999747378752e-05
8,0.39897382259368896,0.9610916376113892,0.9431051015853882,0.9765098690986633,0.375,0.9594238996505737,0.6453883647918701,0.8299424052238464,0.7800894379615784,0.8743977546691895,0.375,0.823565661907196,9.999999747378752e-05
9,0.36003294587135315,0.9652169346809387,0.9506228566169739,0.9778475165367126,0.375,0.9636218547821045,0.6313968300819397,0.8258779048919678,0.7821418046951294,0.8638231158256531,0.375,0.8201454281806946,9.999999747378752e-05
10,0.32713618874549866,0.9677056670188904,0.9554271697998047,0.9783042073249817,0.375,0.9663836359977722,0.5821661949157715,0.8317385315895081,0.7921292781829834,0.8672717809677124,0.3749999403953552,0.8271800875663757,9.999999747378752e-05
11,0.29672303795814514,0.9696981906890869,0.9591934680938721,0.9786837100982666,0.375,0.9687302112579346,0.5730994939804077,0.8393794298171997,0.8012937307357788,0.8717734217643738,0.375,0.8340340852737427,9.999999747378752e-05
