epoch,val_loss,val_accuracy,val_recall,val_precision,val_miou,val_f1_score,loss,accuracy,recall,precision,miou,f1_score,lr
1,2.4964001178741455,0.6586000919342041,0.6176185607910156,0.7791733145713806,0.26124686002731323,0.6585999131202698,0.7691377431918414,0.7146296501159668,0.4685076177120209,0.735256016254425,0.2092948853969574,0.6829638481140137,9.999999747378752e-05
2,2.303677558898926,0.6586000919342041,0.6850253939628601,0.793463945388794,0.3033080995082855,0.6585999131202698,0.5023313610836118,0.8144693970680237,0.6597200632095337,0.7862427830696106,0.2849367558956146,0.8077927827835083,9.999999747378752e-05
3,2.1542770862579346,0.6586000919342041,0.7151351571083069,0.8022500872612,0.3273794949054718,0.6585999131202698,0.4336078452248859,0.8382183909416199,0.7020353078842163,0.7979229092597961,0.3160346448421478,0.8340110778808594,9.999999747378752e-05
4,2.2791528701782227,0.6586000919342041,0.7342390418052673,0.8087781667709351,0.3452650308609009,0.6585999131202698,0.39312758139347126,0.8543776869773865,0.7252512574195862,0.8054869771003723,0.33613598346710205,0.8510810732841492,9.999999747378752e-05
5,2.3612630367279053,0.6586000919342041,0.7479041814804077,0.8138590455055237,0.3591020703315735,0.6585999131202698,0.36734340695598333,0.864986777305603,0.7415191531181335,0.8114118576049805,0.3524991571903229,0.8625216484069824,9.999999747378752e-05
6,2.1276772022247314,0.6586000919342041,0.7582188844680786,0.8179954886436462,0.3701588213443756,0.6585999131202698,0.34979394576779504,0.8725862503051758,0.7534799575805664,0.8161364197731018,0.3652566075325012,0.8704717755317688,9.999999747378752e-05
7,2.657747507095337,0.6586000919342041,0.7665712833404541,0.8215418457984924,0.3795633912086487,0.6585999131202698,0.33145681269221255,0.8798218965530396,0.7625463604927063,0.81979900598526,0.37519174814224243,0.8777788281440735,9.999999747378752e-05
8,1.191827654838562,0.6595058441162109,0.7737151384353638,0.824862003326416,0.38803061842918396,0.6597431302070618,0.3162971725721499,0.8874215483665466,0.7703984379768372,0.8233291506767273,0.38414710760116577,0.8856081366539001,9.999999747378752e-05
9,0.26993677020072937,0.6723960041999817,0.7799129486083984,0.828511118888855,0.39376187324523926,0.6838359832763672,0.30291837724028053,0.8923121690750122,0.7769457101821899,0.8264489769935608,0.3921184539794922,0.8908610939979553,9.999999747378752e-05
10,0.18336182832717896,0.8270003199577332,0.7872537970542908,0.8343526721000671,0.40258345007896423,0.8244889378547668,0.28313286023917217,0.901698887348175,0.783027172088623,0.8307750225067139,0.3960757553577423,0.9001519083976746,9.999999747378752e-05
11,0.11153195798397064,0.8326939940452576,0.7952941060066223,0.8408600687980652,0.4144291281700134,0.8336420655250549,0.2703422624094728,0.9072670936584473,0.791378378868103,0.8378219604492188,0.40877071022987366,0.9059544205665588,9.999999747378752e-05
12,0.1023247018456459,0.8281298279762268,0.8025136590003967,0.8463186025619507,0.42465072870254517,0.8295924067497253,0.26306947680947546,0.910854160785675,0.7990696430206299,0.843754231929779,0.4198184609413147,0.9097861051559448,9.999999747378752e-05
13,0.21500951051712036,0.817982017993927,0.8091051578521729,0.8511175513267517,0.4340416491031647,0.8181641101837158,0.24239922794303032,0.9182075262069702,0.8060325384140015,0.8489764332771301,0.4296649992465973,0.9172752499580383,9.999999747378752e-05
14,0.16017311811447144,0.834535539150238,0.815132200717926,0.8555107116699219,0.4427897036075592,0.8348585367202759,0.2289815786884818,0.9236661791801453,0.8122230172157288,0.8533440828323364,0.4385364055633545,0.9226594567298889,9.999999747378752e-05
15,0.18912912905216217,0.801618754863739,0.8204888105392456,0.8595005869865417,0.45050302147865295,0.802678644657135,0.21381373104886112,0.9292013049125671,0.8180559873580933,0.8577020168304443,0.44711440801620483,0.9283205270767212,9.999999747378752e-05
16,0.10954412072896957,0.8016788959503174,0.825115442276001,0.8630061745643616,0.4575256407260895,0.8035134077072144,0.20472918204299115,0.9323298335075378,0.8228821158409119,0.8612921833992004,0.4540330767631531,0.9314643740653992,9.999999747378752e-05
17,0.08833909779787064,0.8266851902008057,0.8296161890029907,0.8664081692695618,0.46460598707199097,0.827261209487915,0.19098539782349153,0.9383484125137329,0.827306866645813,0.8647227883338928,0.46103784441947937,0.9374458193778992,9.999999747378752e-05
18,0.1088564544916153,0.8300610780715942,0.8340720534324646,0.8697776794433594,0.4717649519443512,0.8314798474311829,0.1802930704184941,0.9418504238128662,0.8318940997123718,0.8680741190910339,0.46819010376930237,0.9409957528114319,9.999999747378752e-05
19,0.20270729064941406,0.802318811416626,0.8379305601119995,0.8727283477783203,0.47766029834747314,0.8048397302627563,0.17023993099747414,0.9445958733558655,0.8361356854438782,0.8713677525520325,0.4751882255077362,0.943849503993988,9.999999747378752e-05
20,0.10070285201072693,0.833441436290741,0.8416433334350586,0.8755354881286621,0.48344311118125916,0.8338049650192261,0.1594671852732025,0.9481642246246338,0.8397244215011597,0.8741034269332886,0.48016253113746643,0.9474430084228516,9.999999747378752e-05
21,0.08771191537380219,0.846514880657196,0.8453006744384766,0.8782105445861816,0.489345908164978,0.8465603590011597,0.15999348423419854,0.9490497708320618,0.8435060977935791,0.8769139051437378,0.4866558015346527,0.9483862519264221,9.999999747378752e-05
22,0.08009576052427292,0.8538997769355774,0.8489077687263489,0.8808853030204773,0.49523258209228516,0.8541953563690186,0.1523301357514838,0.952244758605957,0.8471117615699768,0.8795384168624878,0.49211978912353516,0.9515810608863831,9.999999747378752e-05
23,0.08359404653310776,0.8500808477401733,0.85223788022995,0.8833743333816528,0.5008738040924072,0.8506807088851929,0.14393273358925796,0.9543315768241882,0.8505959510803223,0.882145345211029,0.49814486503601074,0.9536949396133423,9.999999747378752e-05
24,0.08098758012056351,0.8351645469665527,0.8552788496017456,0.8856640458106995,0.5059787034988403,0.8359662294387817,0.14127608829874985,0.9556862115859985,0.8538479804992676,0.884583055973053,0.503532886505127,0.9550754427909851,9.999999747378752e-05
25,0.06667967885732651,0.8512933254241943,0.8581454753875732,0.8878218531608582,0.5107372403144836,0.8519139885902405,0.13226529827593883,0.9591420292854309,0.8567076325416565,0.8867493867874146,0.5083886981010437,0.958487868309021,9.999999747378752e-05
26,0.08053608238697052,0.8244088888168335,0.8607828617095947,0.8897871971130371,0.5146781206130981,0.8266987204551697,0.13367553599297055,0.9587501287460327,0.8595770597457886,0.8888955116271973,0.5130048990249634,0.9581573605537415,9.999999747378752e-05
27,0.06451915204524994,0.8548936247825623,0.8633118271827698,0.8916743397712708,0.5185573697090149,0.8551281094551086,0.12613189127637353,0.961333692073822,0.8620036244392395,0.8907081484794617,0.5163937211036682,0.9607373476028442,9.999999747378752e-05
28,0.05727988854050636,0.8461405038833618,0.8657922744750977,0.8935027122497559,0.5226722955703735,0.8462619781494141,0.1243710716838365,0.9624164700508118,0.8646071553230286,0.8926361203193665,0.5207053422927856,0.9618158340454102,9.999999747378752e-05
29,0.06725075840950012,0.8587413430213928,0.8681396842002869,0.8952431678771973,0.5266556143760681,0.8593693971633911,0.12052284004632952,0.9631044268608093,0.8669745922088623,0.8943678140640259,0.5246468782424927,0.9625446200370789,9.999999747378752e-05
30,0.0793614611029625,0.8227651715278625,0.8703129887580872,0.896854817867279,0.5305078029632568,0.8234900832176208,0.118055498047808,0.9644050598144531,0.8693205714225769,0.8961310386657715,0.5286548733711243,0.9638568162918091,9.999999747378752e-05
31,0.07165538519620895,0.8638967275619507,0.8723721504211426,0.8983814716339111,0.5342351794242859,0.8642638921737671,0.11282042641379167,0.9661367535591125,0.8712602257728577,0.897540807723999,0.5322754383087158,0.9656017422676086,9.999999747378752e-05
32,0.06707551330327988,0.8608149886131287,0.8744401335716248,0.8999390006065369,0.537948489189148,0.8609596490859985,0.1111992073855994,0.966330885887146,0.8734171390533447,0.8991689682006836,0.5360968112945557,0.965818464756012,9.999999747378752e-05
33,0.08217346668243408,0.859950065612793,0.8764119744300842,0.9014261960983276,0.5415304899215698,0.8601336479187012,0.10781652894739849,0.9677872061729431,0.875449538230896,0.9007030129432678,0.5398111939430237,0.9672789573669434,9.999999747378752e-05
34,0.07314616441726685,0.859580397605896,0.8782675862312317,0.9028022885322571,0.5447948575019836,0.8597485423088074,0.10726875485681789,0.968123733997345,0.8773543834686279,0.9021286964416504,0.5432322025299072,0.967631459236145,9.999999747378752e-05
35,0.08806397020816803,0.8551610112190247,0.8800593018531799,0.9041432738304138,0.5479626059532166,0.855437695980072,0.10358525189469876,0.9692577123641968,0.8791834712028503,0.9034778475761414,0.5463610291481018,0.9687854647636414,9.999999747378752e-05
