epoch,loss,accuracy,recall,precision,miou,f1_score,val_loss,val_accuracy,val_recall,val_precision,val_miou,val_f1_score,lr
1,0.8891745209693909,0.8273570537567139,0.20395876467227936,0.7945927977561951,0.375,0.3208193778991699,0.8552969098091125,0.8533007502555847,0.16414237022399902,0.7672431468963623,0.375,0.2647818922996521,9.999999747378752e-05
2,0.7785133719444275,0.8793832063674927,0.40401798486709595,0.8813961148262024,0.375,0.5289214253425598,0.7717258334159851,0.8585920333862305,0.6888086199760437,0.9260261058807373,0.375,0.7859283089637756,9.999999747378752e-05
3,0.6951929330825806,0.9056727886199951,0.7638019323348999,0.9443663954734802,0.375,0.8385521173477173,0.7526993155479431,0.8593764305114746,0.7256966829299927,0.9427300095558167,0.375,0.8159717917442322,9.999999747378752e-05
4,0.6142141222953796,0.926263153553009,0.8693752884864807,0.9600763320922852,0.375,0.9121306538581848,0.7261820435523987,0.8533155918121338,0.7374318242073059,0.9367236495018005,0.375,0.822348415851593,9.999999747378752e-05
5,0.5504280924797058,0.9394268989562988,0.8983423113822937,0.9674287438392639,0.375,0.9313600659370422,0.6849425435066223,0.8406743407249451,0.7691462635993958,0.8986924886703491,0.375,0.8277055621147156,9.999999747378752e-05
6,0.49558010697364807,0.949307382106781,0.9188728928565979,0.9720882773399353,0.375,0.9445846676826477,0.6489238739013672,0.850949764251709,0.7811429500579834,0.9136782288551331,0.37500008940696716,0.8403644561767578,9.999999747378752e-05
7,0.44842907786369324,0.9536242485046387,0.9300693273544312,0.9727105498313904,0.375,0.9504875540733337,0.6124067306518555,0.8503930568695068,0.7841513156890869,0.9097414612770081,0.375,0.8407080173492432,9.999999747378752e-05
8,0.40163055062294006,0.9596225619316101,0.9408325552940369,0.9753064513206482,0.375,0.9573808908462524,0.5873176455497742,0.8581043481826782,0.8038623929023743,0.9066972136497498,0.3750012218952179,0.8506060838699341,9.999999747378752e-05
9,0.36312106251716614,0.9644454121589661,0.9496343731880188,0.9771707057952881,0.375,0.9631406664848328,0.5906657576560974,0.8429763913154602,0.7950305342674255,0.8882056474685669,0.375,0.838252067565918,9.999999747378752e-05
10,0.3283229470252991,0.9671996831893921,0.9548693299293518,0.9778150320053101,0.375,0.966096818447113,0.5297192931175232,0.865442156791687,0.8219527006149292,0.9091303944587708,0.375,0.8620136380195618,9.999999747378752e-05
11,0.293472558259964,0.9715986847877502,0.9617171883583069,0.9801241755485535,0.375,0.9707921743392944,0.5343345403671265,0.8574010133743286,0.8241956830024719,0.8920402526855469,0.375,0.855605959892273,9.999999747378752e-05
12,0.2697664201259613,0.9722548127174377,0.9636719226837158,0.979805588722229,0.375,0.9716055393218994,0.4969807267189026,0.8669120073318481,0.8331273794174194,0.898235559463501,0.375,0.8628858327865601,9.999999747378752e-05
13,0.23896804451942444,0.976141631603241,0.9686616063117981,0.9826125502586365,0.375,0.9755464792251587,0.473990261554718,0.8677346110343933,0.8303427696228027,0.9015175104141235,0.375,0.8630759119987488,9.999999747378752e-05
14,0.2168544977903366,0.9783127307891846,0.9716351628303528,0.9841357469558716,0.375,0.9778038859367371,0.47326231002807617,0.865441620349884,0.8386315107345581,0.8927904367446899,0.375,0.8636751174926758,9.999999747378752e-05
15,0.19434018433094025,0.9798974990844727,0.9741774201393127,0.985176146030426,0.375,0.9795885682106018,0.5694066286087036,0.8264939785003662,0.8028257489204407,0.8478356003761292,0.37500014901161194,0.824122428894043,9.999999747378752e-05
16,0.1729593724012375,0.9816336631774902,0.9766187071800232,0.9863824844360352,0.375,0.9814708232879639,0.5130645632743835,0.838180422782898,0.81324702501297,0.8607630729675293,0.3750000298023224,0.8358091711997986,9.999999747378752e-05
17,0.15969231724739075,0.9822461009025574,0.97760409116745,0.9867073893547058,0.375,0.9821245074272156,0.4456362724304199,0.8646881580352783,0.8469825387001038,0.8815359473228455,0.3750050365924835,0.8629832863807678,9.999999747378752e-05
18,0.1474321037530899,0.982437014579773,0.978181779384613,0.9865990877151489,0.375,0.9823650121688843,0.47028428316116333,0.8525580167770386,0.8334241509437561,0.8717774152755737,0.3750009536743164,0.8513612151145935,9.999999747378752e-05
19,0.13279327750205994,0.9838010668754578,0.9798516631126404,0.9877482652664185,0.375,0.983771562576294,0.4511643946170807,0.8572484850883484,0.8394358158111572,0.8740417957305908,0.3750000298023224,0.8555290699005127,9.999999747378752e-05
20,0.11988601833581924,0.9843096137046814,0.9807032942771912,0.9879645109176636,0.375,0.9843112230300903,0.4185258150100708,0.8675148487091064,0.850125253200531,0.8843596577644348,0.375,0.8659487366676331,9.999999747378752e-05
21,0.10995509475469589,0.9851929545402527,0.9818043112754822,0.9886602163314819,0.375,0.9852154850959778,0.4779473841190338,0.8479780554771423,0.8313317894935608,0.8640257120132446,0.3750000596046448,0.8467130064964294,9.999999747378752e-05
22,0.10234517604112625,0.9851430058479309,0.9819685816764832,0.988455057144165,0.375,0.9852036833763123,0.42871788144111633,0.8688876628875732,0.8573532104492188,0.8806576132774353,0.375,0.8679767847061157,9.999999747378752e-05
23,0.09442000836133957,0.9856735467910767,0.9827238321304321,0.9888311624526978,0.375,0.9857617020606995,0.410871684551239,0.8648192882537842,0.8502828478813171,0.879213273525238,0.37500107288360596,0.8635775446891785,9.999999747378752e-05
24,0.08570103347301483,0.9862368106842041,0.9834039807319641,0.989281952381134,0.375,0.9863266348838806,0.46821531653404236,0.8532777428627014,0.8402829170227051,0.8658978343009949,0.37501251697540283,0.8522135019302368,9.999999747378752e-05
25,0.08015604317188263,0.9865959286689758,0.9838849306106567,0.9895356297492981,0.375,0.9867009520530701,0.43557047843933105,0.8537413477897644,0.8383526802062988,0.8687276244163513,0.37500882148742676,0.852530300617218,9.999999747378752e-05
26,0.07418829202651978,0.9870444536209106,0.9844426512718201,0.989902675151825,0.375,0.9871460795402527,0.44964849948883057,0.8628062009811401,0.8510300517082214,0.8752762675285339,0.37500008940696716,0.8622347712516785,9.999999747378752e-05
27,0.0691002905368805,0.9874498248100281,0.984950065612793,0.9902175664901733,0.375,0.9875758290290833,0.4693501889705658,0.8527753949165344,0.8415142893791199,0.864068865776062,0.37501293420791626,0.8519989252090454,9.999999747378752e-05
