epoch,val_loss,val_accuracy,val_recall,val_precision,val_miou,val_f1_score,loss,accuracy,recall,precision,miou,f1_score,lr
1,1.2963725328445435,0.7689977288246155,0.5993088483810425,0.8189618587493896,0.24518939852714539,0.7618842720985413,0.7742512734454484,0.7118249535560608,0.4271230399608612,0.8030819296836853,0.21627897024154663,0.6638826131820679,9.999999747378752e-05
2,1.136656641960144,0.8086084723472595,0.6826058030128479,0.8331657648086548,0.26916173100471497,0.8056849837303162,0.49723307653733956,0.8039155602455139,0.6479662656784058,0.8248916864395142,0.257474809885025,0.8007770776748657,9.999999747378752e-05
3,0.649086058139801,0.8416358828544617,0.7222407460212708,0.8459874391555786,0.2908504903316498,0.834802508354187,0.3943281241752871,0.831022322177887,0.7048622965812683,0.840304970741272,0.27809613943099976,0.8329083323478699,9.999999747378752e-05
4,0.6594006419181824,0.8285287022590637,0.7453945875167847,0.8539517521858215,0.32146966457366943,0.8261513113975525,0.35617865796709236,0.8467881679534912,0.7349618077278137,0.8503655791282654,0.3048584461212158,0.8447446823120117,9.999999747378752e-05
5,0.6507207751274109,0.8500039577484131,0.7620224356651306,0.8600654602050781,0.34802836179733276,0.848402738571167,0.3355572715274289,0.8584092855453491,0.7538473606109619,0.8569109439849854,0.3355136215686798,0.8579572439193726,9.999999747378752e-05
6,0.31750616431236267,0.8596309423446655,0.777393102645874,0.864802896976471,0.37150847911834717,0.8596697449684143,0.31399166416627,0.8736698627471924,0.7699487209320068,0.8627679347991943,0.3601565957069397,0.8732976317405701,9.999999747378752e-05
7,0.6632505059242249,0.8047024011611938,0.7893987894058228,0.8678779006004333,0.39116451144218445,0.8051617741584778,0.29879137929142324,0.8825603723526001,0.7843659520149231,0.8669425249099731,0.3821154832839966,0.8826806545257568,9.999999747378752e-05
8,0.6954136490821838,0.8643301129341125,0.799135148525238,0.8705794811248779,0.40768760442733765,0.8643882870674133,0.28843755332323223,0.8888109922409058,0.7940284609794617,0.8688470125198364,0.3993687927722931,0.8889501690864563,9.999999747378752e-05
9,1.8916783332824707,0.8355531692504883,0.8076283931732178,0.8733265399932861,0.42055875062942505,0.8353011608123779,0.2812122615902561,0.8934199213981628,0.8038626909255981,0.87227863073349,0.4150684177875519,0.8935808539390564,9.999999747378752e-05
10,0.3117552399635315,0.862463116645813,0.8149259090423584,0.8759127855300903,0.43191006779670715,0.862532377243042,0.2711854950503261,0.8996115922927856,0.811399519443512,0.8746476769447327,0.42607560753822327,0.8997963070869446,9.999999747378752e-05
11,0.6857267022132874,0.8566207885742188,0.8217738270759583,0.8787584900856018,0.44330304861068726,0.8563966751098633,0.2561672562426263,0.9077960252761841,0.8186060786247253,0.8775163888931274,0.4378383159637451,0.9079806804656982,9.999999747378752e-05
