epoch,val_loss,val_accuracy,val_recall,val_precision,val_miou,val_f1_score,loss,accuracy,recall,precision,miou,f1_score,lr
1,0.8565552234649658,0.6585999131202698,0.700096845626831,0.8141747117042542,0.3080630898475647,0.6586001515388489,0.5976156639674354,0.7744472026824951,0.555303692817688,0.8038458824157715,0.26229172945022583,0.7528459429740906,9.999999747378752e-05
2,1.0338261127471924,0.6585999131202698,0.7500262260437012,0.8189782500267029,0.35123878717422485,0.6586001515388489,0.380706895674978,0.8526332974433899,0.7301501631736755,0.8147743940353394,0.3316730856895447,0.8522139191627502,9.999999747378752e-05
3,1.193790316581726,0.6585999131202698,0.7714793682098389,0.8241295218467712,0.3746505677700043,0.6586001515388489,0.3380497089417717,0.8700613975524902,0.7620480060577393,0.8213973641395569,0.36423245072364807,0.870074987411499,9.999999747378752e-05
4,1.6822279691696167,0.6585999131202698,0.784505307674408,0.8282995820045471,0.390408992767334,0.6586001515388489,0.3130959374090982,0.8806841373443604,0.7785289287567139,0.8261530995368958,0.3833049237728119,0.8807159066200256,9.999999747378752e-05
5,2.488863468170166,0.6585999131202698,0.7941510081291199,0.8321072459220886,0.4033527374267578,0.6586001515388489,0.28963828101408495,0.8906920552253723,0.7895445823669434,0.8301471471786499,0.39699846506118774,0.8909856677055359,9.999999747378752e-05
6,2.72285532951355,0.6585999131202698,0.8017847537994385,0.8355411887168884,0.41388365626335144,0.6586001515388489,0.27321452303574634,0.8991380333900452,0.7980358004570007,0.833750307559967,0.4085504114627838,0.8992124795913696,9.999999747378752e-05
7,3.559070587158203,0.6585999131202698,0.8084876537322998,0.8390172123908997,0.42383891344070435,0.6586001515388489,0.25165430499156605,0.9092258214950562,0.8053781986236572,0.8373942375183105,0.4190458357334137,0.9094405174255371,9.999999747378752e-05
8,1.0309821367263794,0.738161027431488,0.8153551816940308,0.8441271781921387,0.4340689182281494,0.7476418614387512,0.23172028840352327,0.9186016321182251,0.8116886615753174,0.840858519077301,0.4288245141506195,0.9186750054359436,9.999999747378752e-05
9,0.1880922168493271,0.7775442004203796,0.8229870200157166,0.8505839109420776,0.44653311371803284,0.7783973813056946,0.20360158738635836,0.9279921054840088,0.8190956711769104,0.8474504351615906,0.43988949060440063,0.9280720949172974,9.999999747378752e-05
10,0.09858741611242294,0.8387462496757507,0.8307538628578186,0.8570123314857483,0.45973554253578186,0.8388776779174805,0.1898288380113568,0.9345805644989014,0.8267045617103577,0.8535975217819214,0.45312175154685974,0.9346379637718201,9.999999747378752e-05
11,0.0911816880106926,0.8614413142204285,0.8384584784507751,0.8635058403015137,0.47257599234580994,0.8618761301040649,0.1774971373788603,0.9396764636039734,0.8346909284591675,0.8603430390357971,0.4664582312107086,0.9396029710769653,9.999999747378752e-05
12,0.10432158410549164,0.8433864712715149,0.8451626300811768,0.86907559633255,0.4838627576828003,0.8435521125793457,0.1626223972356072,0.9436688423156738,0.8421007990837097,0.8665774464607239,0.47866880893707275,0.9437166452407837,9.999999747378752e-05
13,0.09806413948535919,0.8447970151901245,0.8510771989822388,0.873907744884491,0.4938070774078369,0.8450160622596741,0.14973539451958204,0.9486075639724731,0.8483020067214966,0.8716711401939392,0.4893285036087036,0.948657751083374,9.999999747378752e-05
14,0.08739834278821945,0.8232070803642273,0.8561540842056274,0.8779848217964172,0.5023627877235413,0.8233366012573242,0.1383729074082095,0.9517433643341064,0.8538231253623962,0.8761424422264099,0.4984070956707001,0.9518095850944519,9.999999747378752e-05
15,0.08309246599674225,0.8631982207298279,0.8608214259147644,0.8817962408065796,0.5104990601539612,0.8636340498924255,0.13317759436929327,0.9540011286735535,0.8584734201431274,0.8798508644104004,0.5065182447433472,0.9540516138076782,9.999999747378752e-05
16,0.12422624230384827,0.8476837277412415,0.8652571439743042,0.8854228258132935,0.5178925395011902,0.8481122255325317,0.12817903092729158,0.9568597674369812,0.8631966710090637,0.8837811350822449,0.514652669429779,0.9568662643432617,9.999999747378752e-05
17,0.09960579127073288,0.8248195648193359,0.8690264225006104,0.8884425163269043,0.5241913199424744,0.8246980905532837,0.11783016325680765,0.9600843191146851,0.8672950863838196,0.8870649337768555,0.5211439728736877,0.960089921951294,9.999999747378752e-05
18,0.1325763463973999,0.8450682163238525,0.872402548789978,0.8911702632904053,0.5301079154014587,0.8456857800483704,0.11482077528596361,0.9610822200775146,0.870746910572052,0.8898252844810486,0.5272065997123718,0.9610726237297058,9.999999747378752e-05
19,0.10912872105836868,0.7905961275100708,0.8753944635391235,0.8935612440109253,0.5354044437408447,0.7907890677452087,0.10673091398217739,0.9643391370773315,0.8741343021392822,0.8925952911376953,0.5332087874412537,0.9643656015396118,9.999999747378752e-05
20,0.09640414267778397,0.8556124567985535,0.8781673312187195,0.8957744240760803,0.5401350259780884,0.8560096025466919,0.10402109678175132,0.9648293256759644,0.8766366839408875,0.8945295810699463,0.5374894738197327,0.964817464351654,9.999999747378752e-05
21,0.11042653024196625,0.8500357270240784,0.8810189366340637,0.8981105089187622,0.5451982617378235,0.8502756357192993,0.10178341556417782,0.9656100869178772,0.8796553015708923,0.8969948887825012,0.5427461862564087,0.9656339883804321,9.999999747378752e-05
22,0.10799884796142578,0.8199060559272766,0.883450448513031,0.9000722169876099,0.5496618151664734,0.8199540972709656,0.09679769839686643,0.9672175049781799,0.8823736906051636,0.8992242217063904,0.5476382374763489,0.9672248959541321,9.999999747378752e-05
23,0.13331805169582367,0.8592526316642761,0.8858178853988647,0.902004063129425,0.5540416836738586,0.8595018982887268,0.09197551149406422,0.9690896272659302,0.8845744729042053,0.9009758830070496,0.5517917275428772,0.9691046476364136,9.999999747378752e-05
24,0.07289931178092957,0.8383895754814148,0.8880952000617981,0.9038705229759216,0.5582360625267029,0.8385993838310242,0.090878306359271,0.9700304865837097,0.8870569467544556,0.9030266404151917,0.5562900900840759,0.9700624346733093,9.999999747378752e-05
25,0.11163599789142609,0.840979278087616,0.8901615142822266,0.9055589437484741,0.5620808601379395,0.8410399556159973,0.0853262107969422,0.9714091420173645,0.889164924621582,0.904743492603302,0.5602088570594788,0.9714387059211731,9.999999747378752e-05
26,0.0873337984085083,0.8588392734527588,0.8921499252319336,0.9071969389915466,0.5657426118850708,0.8590831160545349,0.08469845949511826,0.9716972708702087,0.8911489844322205,0.9063776135444641,0.5639623403549194,0.9717261791229248,9.999999747378752e-05
27,0.10974692553281784,0.8530377745628357,0.8941079378128052,0.9088113307952881,0.5692800283432007,0.8532295227050781,0.0819231971043079,0.9727836847305298,0.8931694030761719,0.908044695854187,0.5676432251930237,0.9728006720542908,9.999999747378752e-05
28,0.08339352160692215,0.8652153611183167,0.8959743976593018,0.910337507724762,0.5726391077041626,0.8653672337532043,0.07867527830440628,0.9738958477973938,0.8950383067131042,0.9095697999000549,0.5709251165390015,0.9739421606063843,9.999999747378752e-05
29,0.09170675277709961,0.8614707589149475,0.8977537155151367,0.9118022322654724,0.5759169459342957,0.8617962598800659,0.07748591237597996,0.9743528366088867,0.8968909978866577,0.9110953211784363,0.5743171572685242,0.9743934869766235,9.999999747378752e-05
30,0.09998432546854019,0.8556592464447021,0.8993924260139465,0.913158655166626,0.5789522528648376,0.8560248613357544,0.07464754811154908,0.9753270149230957,0.8986077904701233,0.9125102162361145,0.5775322914123535,0.9753769636154175,9.999999747378752e-05
31,0.09445978701114655,0.8483028411865234,0.9009013772010803,0.9143955707550049,0.5817627310752869,0.8486473560333252,0.07216869467489594,0.9762705564498901,0.9001972079277039,0.9138252139091492,0.5804247856140137,0.9763243794441223,9.999999747378752e-05
32,0.10800287872552872,0.8652452230453491,0.9023898839950562,0.9156189560890198,0.5845320224761963,0.8654466271400452,0.07138756566632071,0.9764982461929321,0.9016416668891907,0.9150102734565735,0.5832008123397827,0.9765563011169434,9.999999747378752e-05
33,0.11524727940559387,0.8453050851821899,0.9037617444992065,0.9167454838752747,0.5870906710624695,0.8456729054450989,0.06927739697825777,0.9772533774375916,0.9031342267990112,0.916233479976654,0.585963785648346,0.9773136973381042,9.999999747378752e-05
34,0.10132536292076111,0.8609372973442078,0.9050625562667847,0.9178137183189392,0.5895450711250305,0.8610742092132568,0.06817631761888009,0.9777693748474121,0.9044106006622314,0.9172827005386353,0.5883151888847351,0.9778195023536682,9.999999747378752e-05
35,0.0992940366268158,0.8497654795646667,0.9063845276832581,0.918901264667511,0.5920152068138123,0.849883496761322,0.05999617079802776,0.9809643030166626,0.905764639377594,0.9183960556983948,0.5908734202384949,0.9810439944267273,9.999999747378752e-06
