epoch,val_loss,val_accuracy,val_recall,val_precision,val_miou,val_f1_score,loss,accuracy,recall,precision,miou,f1_score,lr
1,0.46615535020828247,0.7715684175491333,0.45058321952819824,0.7417166829109192,0.416818231344223,0.7360057234764099,0.8248370635917542,0.5423328280448914,0.27254584431648254,0.6388459801673889,0.41898149251937866,0.5115776658058167,9.999999747378752e-05
2,0.39156991243362427,0.8213616013526917,0.5776650309562683,0.7691911458969116,0.41595911979675293,0.8205388188362122,0.48267167824841944,0.7773554921150208,0.5252485871315002,0.7595395445823669,0.4160177409648895,0.7175745368003845,9.999999747378752e-05
3,0.24687030911445618,0.8312544822692871,0.6292058825492859,0.7771844267845154,0.41541752219200134,0.8387905955314636,0.4493859291513858,0.7621808648109436,0.6065965890884399,0.7742544412612915,0.4155721068382263,0.7288445234298706,9.999999747378752e-05
4,0.2906666398048401,0.8380306959152222,0.6583508849143982,0.7788885235786438,0.4153628945350647,0.834136426448822,0.4154026800160886,0.7511292099952698,0.645601749420166,0.7790165543556213,0.4153866171836853,0.7355417609214783,9.999999747378752e-05
5,0.28096818923950195,0.8465290665626526,0.6751758456230164,0.7784412503242493,0.4153710901737213,0.8316196203231812,0.40038171454280397,0.7553030252456665,0.6681787371635437,0.7791495323181152,0.4153560996055603,0.7313346862792969,9.999999747378752e-05
6,0.26627206802368164,0.8489129543304443,0.6878272294998169,0.7772413492202759,0.4153364896774292,0.843380868434906,0.39143450080911224,0.7544797658920288,0.6815550923347473,0.7774754166603088,0.415346622467041,0.7335312366485596,9.999999747378752e-05
7,0.24571029841899872,0.8529788255691528,0.6987615823745728,0.7741810083389282,0.41524842381477356,0.8496726751327515,0.3866237788153744,0.7581986784934998,0.6933665871620178,0.7759395837783813,0.41527730226516724,0.7303609848022461,9.999999747378752e-05
8,0.22863192856311798,0.8562978506088257,0.7077378630638123,0.7720826268196106,0.415193110704422,0.8515260219573975,0.3781087198511021,0.7536060214042664,0.7039202451705933,0.773102879524231,0.4152168333530426,0.7345542311668396,9.999999747378752e-05
9,0.2942139506340027,0.8453617095947266,0.7140681147575378,0.7704338431358337,0.41517195105552673,0.8374013900756836,0.37502905485973964,0.7600065469741821,0.7114481925964355,0.7713631391525269,0.41517841815948486,0.7324450016021729,9.999999747378752e-05
10,0.3060639202594757,0.8606818914413452,0.7213064432144165,0.769036054611206,0.415117084980011,0.8598291873931885,0.3558381069041697,0.77181077003479,0.7174158692359924,0.7698818445205688,0.4151497781276703,0.744775652885437,9.999999747378752e-05
11,0.18258199095726013,0.8629340529441833,0.7286328077316284,0.7671332955360413,0.41506338119506836,0.8627814650535583,0.3521629926773622,0.774141788482666,0.7250003814697266,0.7679787278175354,0.41508233547210693,0.7449593544006348,9.999999747378752e-05
12,0.20322753489017487,0.8640024662017822,0.735652506351471,0.7652502059936523,0.4150369465351105,0.8640775680541992,0.3357031874012539,0.7852996587753296,0.7323448061943054,0.7663894891738892,0.41504085063934326,0.7486328482627869,9.999999747378752e-05
13,0.2708183526992798,0.8664296865463257,0.7418439388275146,0.763818085193634,0.4150390625,0.8666752576828003,0.33251841147692107,0.7833014726638794,0.7387620210647583,0.7643366456031799,0.41504913568496704,0.7517256736755371,9.999999747378752e-05
14,0.20417441427707672,0.8667293787002563,0.7476094961166382,0.7628610730171204,0.41504478454589844,0.8667691946029663,0.3236283248968987,0.7721856236457825,0.7448669075965881,0.7634553909301758,0.41503533720970154,0.7569377422332764,9.999999747378752e-05
15,0.2347942590713501,0.8671790957450867,0.7527444362640381,0.7619805335998535,0.4150424897670746,0.8669722676277161,0.3198815392180002,0.7844205498695374,0.7502582669258118,0.7622914910316467,0.4150465130805969,0.7585427761077881,9.999999747378752e-05
16,0.18999996781349182,0.8736827969551086,0.7570365071296692,0.7612596750259399,0.415022611618042,0.8740460872650146,0.3295878753758293,0.7800112962722778,0.7549586296081543,0.7616984844207764,0.41502439975738525,0.7548579573631287,9.999999747378752e-05
