id,net,batch,partition,opt,dropout,format,train_start,train_end,train_time,train_state,eval_state,test_start,test_end,test_state,loss,best_loss,accuracy,best_accuracy,f1_score,best_f1_score,miou,best_miou,precision,best_precision,recall,best_recall,eval_loss,best_eval_loss,eval_accuracy,best_eval_accuracy,eval_f1_score,best_eval_f1_score,eval_miou,best_eval_miou,eval_precision,best_eval_precision,eval_recall,best_eval_recall,test_loss,test_accuracy,test_f1_score,test_miou,test_precision,test_recall,machine
122,unet,4,801010,adam,0,hist,01/03/2021 23:09:32,02/03/2021 02:06:49,2:57:17,done,done,02/03/2021 02:07:00,02/03/2021 02:07:20,done,"0,061007","0,061007","0,980395","0,980395","0,920477","0,980534","0,595228","0,595228","0,931224","0,931224","0,909976","0,909976","0,063279","0,040850","0,899500","0,902627","0,921213","0,902929","0,596859","0,596859","0,931847","0,931847","0,910819","0,910819","0,075432","0,899531","0,921149","0,596746","0,931758","0,910778",4159860176a3
123,unet,4,801010,adam,0,hist,01/03/2021 19:33:36,01/03/2021 22:18:59,2:45:23,done,done,01/03/2021 22:19:08,01/03/2021 22:19:27,done,"0,044235","0,044235","0,984715","0,984715","0,926272","0,984896","0,608754","0,608754","0,937055","0,937055","0,915734","0,915734","0,079105","0,053317","0,908179","0,912109","0,926995","0,912252","0,610391","0,610391","0,937661","0,937661","0,916569","0,916569","0,058345","0,924263","0,926962","0,610329","0,937603","0,916560",FINOS-00
124,unet,4,801010,adam,0,hist,02/03/2021 04:32:33,02/03/2021 07:16:24,2:43:51,done,done,02/03/2021 07:16:35,02/03/2021 07:16:55,done,"0,066350","0,066297","0,978817","0,978817","0,924976","0,979181","0,604972","0,604972","0,935905","0,935905","0,914299","0,914299","0,095383","0,061607","0,904372","0,911528","0,925625","0,911623","0,606485","0,606485","0,936439","0,936439","0,915057","0,915057","0,074954","0,931052","0,925605","0,606461","0,936396","0,915060",FINOS-00
125,unet,4,801010,adam,0,hist,02/03/2021 01:47:22,02/03/2021 04:31:59,2:44:37,done,done,02/03/2021 04:32:09,02/03/2021 04:32:29,done,"0,046754","0,046754","0,983836","0,983836","0,925002","0,983976","0,604419","0,604419","0,935895","0,935895","0,914359","0,914359","0,083668","0,047778","0,911108","0,911108","0,925733","0,911345","0,606080","0,606080","0,936513","0,936513","0,915199","0,915199","0,057889","0,914487","0,925697","0,606015","0,936449","0,915190",FINOS-00
126,unet,4,801010,adam,0,morf,01/03/2021 14:01:54,01/03/2021 16:47:15,2:45:21,done,done,01/03/2021 16:47:26,01/03/2021 16:47:46,done,"0,051345","0,051345","0,983166","0,983166","0,925564","0,983337","0,607785","0,607785","0,938136","0,938136","0,913324","0,913324","0,069947","0,054195","0,896372","0,912280","0,926262","0,912122","0,609304","0,609304","0,938693","0,938693","0,914156","0,914156","0,087004","0,915669","0,926200","0,609190","0,938600","0,914123",FINOS-00
127,unet,4,801010,adam,0,morf,01/03/2021 14:08:45,01/03/2021 19:43:51,5:35:06,done,done,01/03/2021 19:44:02,01/03/2021 19:44:31,done,"0,054423","0,053809","0,981273","0,981273","0,922324","0,981427","0,600375","0,600375","0,934528","0,934528","0,910434","0,910434","0,241873","0,129928","0,907929","0,907929","0,923060","0,908141","0,602008","0,602008","0,935134","0,935134","0,911293","0,911293","0,246672","0,897805","0,922994","0,601898","0,935039","0,911255",404a03924f60
128,unet,4,801010,adam,0,morf,02/03/2021 15:39:52,02/03/2021 18:38:49,2:58:57,done,done,02/03/2021 18:38:57,02/03/2021 18:39:19,done,"0,056122","0,056122","0,981400","0,981400","0,924811","0,981577","0,603314","0,603314","0,936183","0,936183","0,913712","0,913712","0,062789","0,044794","0,901796","0,912305","0,925496","0,912430","0,604850","0,604850","0,936745","0,936745","0,914513","0,914513","0,049538","0,925757","0,925468","0,604822","0,936689","0,914512",bca4110d3d16
129,unet,4,801010,adam,0,morf,01/03/2021 16:47:51,01/03/2021 19:33:01,2:45:10,done,done,01/03/2021 19:33:11,01/03/2021 19:33:31,done,"0,056713","0,056713","0,981320","0,981320","0,923944","0,981584","0,604329","0,604329","0,935637","0,935637","0,912539","0,912539","0,056539","0,048642","0,906956","0,910803","0,924655","0,911017","0,605890","0,605890","0,936221","0,936221","0,913371","0,913371","0,101980","0,920935","0,924626","0,605837","0,936167","0,913366",FINOS-00
130,unet,4,801010,adam,0,morf,02/03/2021 05:35:01,02/03/2021 08:31:22,2:56:21,done,done,02/03/2021 08:31:28,02/03/2021 08:31:48,done,"0,045664","0,045664","0,983902","0,983902","0,922400","0,984165","0,601915","0,601915","0,933766","0,933766","0,911308","0,911308","0,087566","0,067670","0,902306","0,909022","0,923161","0,909130","0,603614","0,603614","0,934403","0,934403","0,912186","0,912186","0,204602","0,935391","0,923159","0,603661","0,934376","0,912209",769c3b6d89b8
131,unet,4,801010,adam,0.2,hist,08/03/2021 14:15:21,08/03/2021 17:13:02,2:57:41,done,done,08/03/2021 17:13:09,08/03/2021 17:13:29,done,"0,085306","0,085306","0,971402","0,971402","0,908130","0,971563","0,563937","0,563937","0,921485","0,921485","0,895157","0,895157","0,094793","0,084836","0,907133","0,913838","0,908945","0,913915","0,565760","0,565760","0,922155","0,922155","0,896109","0,896109","0,064262","0,927811","0,908971","0,565845","0,922148","0,896165",8fdfb75b7510
